Placement	Adventurer	Response	Change in Lives	Spells	Score	Standard Deviation	Boost
1	PMPuns	Steal others' emeras by swapping them with conveniently emera-shaped rocks!	6	0	76.54%	25.90%	5.00%
2	some_nerd	I explore the surrounding mountainous area, seeking out new emeras.	5	4	76.54%	15.22%	5.00%
3	polodo	Open someone for sheet music, and have a campfire sing-along!	1	0	73.02%	25.10%	5.00%
4	GizmoDude8128	>check >check >check >check >get food >feed >check >check >check...	3	1	70.37%	33.95%	-5.00%
5	GreenTree	I will volunteer to help by dusting cobwebs! So helpful!	2	0	69.05%	18.27%	5.00%
6	Shurikenofawesome	I'll spend time learning that levitation spell for future canyons.	5	0	66.67%	15.71%	5.00%
7	Heronix	I buy armor, defending against bad responses instantly killing me!	1	0	62.50%	29.36%	5.00%
8	Tautological Oxymoron	I'll stay at the fun YMCA with the Village People!	3	2	59.52%	36.46%	5.00%
9	Actionguy777	Chat up the locals. Information is vital to future success.	1	0	59.26%	30.54%	5.00%
10	Steinway	Search for sidequests, particularly in the pub and the whorehouse.	3	0	58.33%	40.62%	5.00%
11	Sandblast	Drink some ale, sleep for two days, the adventurer's paradise!	6	4	56.94%	18.58%	5.00%
12	sink	Go around asking all citizens if they enjoy jazz music.	5	2	55.56%	34.69%	5.00%
13	96 LB	I'm tired of books, do I get any cell service?	2	1	54.63%	39.08%	5.00%
14	Sushi	Exchange the "friendly" tree roots for a loyal dog companion!	3	1	52.78%	22.05%	5.00%
15	WaffleMayor	Break? We should be training. Who knows what lies ahead.	4	2	52.78%	31.79%	5.00%
16	GeLaTiNiSDeD	Roll down the hills. You then spend 30 minutes vomiting.	1	0	51.59%	28.28%	5.00%
17	Doggo	Sit down and enjoy the break... Ooh, a pretty butterfly!	9	7	49.21%	24.38%	5.00%
18	GioD	Get emeralds and trade with the villagers for overpriced goods.	9	7	46.83%	34.44%	5.00%
19	TheGreatAndMightyWaffleCaptain	Run away! The village is an illusion conjured by Gamiblack!	4	3	46.83%	39.60%	5.00%
20	DatFatCat137	Take a nap. I need rest to prepare for battle.	6	4	44.44%	28.21%	5.00%
21	Dawthon	The village's placement is too convenient, i'll just investigate it.	7	6	44.44%	21.28%	5.00%
22	Fan the Apostle	I'll buy some antidepressants. The forest expedition gave me PTSD.	3	0	44.44%	33.13%	5.00%
23	Space Witch	Relax, and... poison the others'. Inhumane? I'm trying to win.	7	2	43.21%	31.18%	5.00%
24	cabob9craft	I'll spend my break like any normal person, watching youtube!	8	5	41.98%	28.58%	5.00%
25	Pringles	I will ask the villagers of what dangers lie ahead.	1	0	39.81%	29.12%	5.00%
26	kyle mulkins	A slime maker. Slime was useful in the old tower.	4	0	39.51%	21.02%	5.00%
27	Purplegaze	Host a <i>fair</i> mTWOW. Fair because Polodo's banned from entering.	7	1	38.27%	33.99%	5.00%
28	Tsutaja495	I'll making everything more pieceful. <i>Time to bomb this village.</i>	5	3	37.96%	32.54%	5.00%
29	anonymouse	After adventuring for this long, I'd sleep for 24 hours.	7	5	37.37%	19.11%	5.00%
30	nuthatch	Create a burial ground to honor those who have fallen.	4	3	37.30%	26.35%	5.00%
31	Math Person	I lie in bed, thinking about the hectic few weeks.	9	6	36.51%	17.53%	5.00%
32	Hot Dog Man	By crying over the many deaths of our fellow adventurers.	6	5	33.33%	26.76%	5.00%
33	Lpcarver	:sleeping: :ghost: :scream: :volcano: :scream: :runner: :sweat_drops: :smiley: :ghost: :scream:	6	5	33.33%	38.95%	5.00%
34	✠IsradianMapping☭	Arm up, sleep all day and get back a life.	8	7	32.22%	22.47%	5.00%
35	Fartnoise9	<b>KILL THE VILLAGERS AND CONQURE THEIR LAND!</b> A relaxing activity.	6	4	31.94%	34.44%	5.00%
36	SuperHyperGuy	I'll eat a lot of meat and rest my feet.	3	0	22.22%	18.78%	5.00%
